iter	Passed	Remaining
0	2	199
1	4	196
2	5	188
3	7	174
4	9	186
5	12	189
6	14	194
7	16	189
8	18	184
9	19	177
10	21	171
11	23	169
12	24	165
13	26	163
14	28	161
15	29	156
16	31	153
17	33	150
18	34	148
19	36	145
20	37	141
21	39	139
22	41	137
23	42	135
24	44	132
25	45	130
26	47	127
27	48	125
28	51	124
29	52	123
30	54	120
31	55	118
32	57	116
33	58	113
34	59	111
35	61	109
36	63	107
37	64	105
38	66	103
39	67	101
40	69	99
41	69	96
42	70	94
43	72	92
44	73	90
45	75	88
46	76	86
47	78	84
48	79	83
49	81	81
50	82	79
51	84	77
52	85	75
53	86	73
54	87	71
55	89	70
56	90	68
57	91	66
58	93	65
59	95	63
60	96	61
61	97	59
62	99	58
63	100	56
64	101	54
65	103	53
66	104	51
67	105	49
68	107	48
69	108	46
70	109	44
71	111	43
72	112	41
73	113	39
74	115	38
75	116	36
76	117	35
77	118	33
78	120	31
79	121	30
80	122	28
81	123	27
82	125	25
83	126	24
84	127	22
85	129	21
86	130	19
87	131	17
88	133	16
89	134	14
90	136	13
91	138	12
92	139	10
93	141	9
94	142	7
95	143	5
96	145	4
97	146	2
98	148	1
99	149	0
